,0
362,GDA
363,RORB
364,TLE4
365,GADD45G
366,ENSMFAG00000033495
367,HSPA5
368,ENSMFAG00000036411
369,RPL31
370,GCC2
371,SMYD1
372,EGR4
373,PPP3R1
374,UGP2
375,BCL11A
376,CCDC88A
377,ENSMFAG00000037923
378,PRKCE
379,TMEM178A
380,CRIM1
381,PPP1CB
382,ENSMFAG00000002856
383,FKBP1B
384,HPCAL1
385,ID2
386,SACS
387,ENSMFAG00000033062
388,AKAP11
389,TPT1
390,HTR2A
391,PCDH17
392,PCDH9
393,ARGLU1
394,MPPED1
395,ENSMFAG00000039783
396,SYNGR1
397,RASL10A
398,MAPK1
399,CST3
400,PCSK2
401,ENSMFAG00000043605
402,LAMP5
403,PLCB1
404,CHGB
405,DDRGK1
406,PDYN
407,FKBP1A
408,ENSMFAG00000037151
409,NNAT
410,VSTM2L
411,SLC12A5
412,PMEPA1
413,ATP5F1E
414,PSMA7
415,RPS21
416,EEF1A2
417,PPDPF
418,CAMKK1
419,CHD3
420,TRAPPC1
421,ENSMFAG00000037250
422,UBB
423,ENSMFAG00000037689
424,RASD1
425,USP22
426,ALDOC
427,RPL23A
428,ENSMFAG00000037178
429,LUC7L3
430,HLF
431,MMD
432,THRA
433,KRT19
434,KRT17
435,EIF1
436,CAVIN1
437,RPL27
438,ENSMFAG00000039785
439,H3F3B
440,NPTX1
441,NDUFAF8
442,SNRNP25
443,BAIAP3
444,RPS2
445,ENSMFAG00000003406
446,HCFC1R1
447,ARL6IP1
448,SYT17
449,CRYM
450,ENSMFAG00000031476
451,MAPK3
452,CBLN1
453,GNAO1
454,MT3
455,CALB2
456,GABARAPL2
457,NECAB2
458,ENSMFAG00000034477
459,ANKRD11
460,ENSMFAG00000027717
461,FBXO15
462,TCF4
463,ENSMFAG00000042744
464,C18orf32
465,ADCYAP1
466,MYL12A
467,ENSMFAG00000001487
468,ANKRD12
469,ENSMFAG00000006345
470,ENSMFAG00000034345
471,ENSMFAG00000042430
472,UBL5
473,OLFM2
474,PLPPR2
475,WDR83OS
476,RPL18A
477,MAST3
478,UBA52
479,NCAN
480,HAPLN4
481,ENSMFAG00000039862
482,POLR2I
483,RPS16
484,TTC9B
485,RABAC1
486,ENSMFAG00000045767
487,MEIS3
488,ENSMFAG00000026126
489,DBP
490,CA11
491,FTL
492,SLC17A7
493,ENSMFAG00000001097
494,PRKCG
495,ENSMFAG00000040254
496,TTYH1
497,TNNT1
498,PEG3
499,ENSMFAG00000002766
